2006-07-08, 2006-08-19, 0
2006-09-02, 2006-10-14, 0
2007-01-24, 2007-03-07, 1
2007-09-08, 2007-10-20, 1
2008-10-04, 2008-11-15, 0
2009-01-10, 2009-02-21, 0
2010-09-04, 2010-10-16, 1
2010-10-30, 2010-12-11, 1
2010-11-29, 2011-01-10, 1
2010-12-25, 2011-02-05, 1
2012-10-27, 2012-12-08, 0
2013-01-19, 2013-03-02, 1
2013-07-27, 2013-09-07, 1
2013-09-02, 2013-10-14, 1
2015-06-01, 2015-07-13, 1
2015-07-14, 2015-08-25, 1
2015-08-03, 2015-09-14, 1
2016-11-01, 2016-12-13, 0
2017-07-17, 2017-08-28, 1
2017-08-09, 2017-09-20, 1
2017-10-02, 2017-11-13, 1
