1,2006-01-22,2006-03-05,8
2,2006-03-08,2006-04-19,8
3,2006-06-01,2006-07-13,2
4,2006-07-16,2006-08-27,8
5,2006-08-30,2006-10-11,8
6,2006-10-14,2006-11-25,8
7,2006-10-15,2006-11-26,1
8,2006-11-28,2007-01-09,9
9,2006-12-10,2007-01-21,1
10,2007-01-24,2007-03-07,2
11,2007-04-07,2007-05-19,8
12,2007-05-22,2007-07-03,9
13,2007-08-03,2007-09-14,2
14,2007-09-14,2007-10-26,2
15,2007-10-29,2007-12-10,9
16,2007-12-13,2008-01-24,8
17,2008-01-27,2008-03-09,8
18,2008-03-13,2008-04-24,5
19,2008-05-20,2008-07-01,4
20,2008-06-20,2008-08-01,9
21,2008-06-26,2008-08-07,3
22,2008-08-29,2008-10-10,8
23,2008-10-13,2008-11-24,8
24,2008-12-02,2009-01-13,8
25,2008-12-16,2009-01-27,1
26,2009-01-16,2009-02-27,8
27,2009-03-02,2009-04-13,9
28,2009-04-16,2009-05-28,8
29,2009-06-28,2009-08-09,5
30,2009-08-14,2009-09-25,8
31,2009-11-06,2009-12-18,5
32,2009-12-24,2010-02-04,5
33,2010-02-05,2010-03-19,9
34,2010-04-01,2010-05-13,8
35,2010-06-26,2010-08-07,3
36,2010-09-04,2010-10-16,2
37,2010-10-22,2010-12-03,2
38,2010-12-01,2011-01-12,5
39,2010-12-20,2011-01-31,5
40,2011-03-17,2011-04-28,8
41,2011-04-26,2011-06-07,4
42,2011-05-01,2011-06-12,8
43,2011-06-15,2011-07-27,9
44,2011-07-20,2011-08-31,3
45,2011-07-30,2011-09-10,9
46,2011-10-28,2011-12-09,8
47,2012-01-21,2012-03-03,8
48,2012-03-25,2012-05-06,4
49,2012-07-06,2012-08-17,5
50,2012-08-23,2012-10-04,8
51,2012-08-26,2012-10-07,4
52,2012-10-27,2012-12-08,8
53,2013-01-13,2013-02-24,2
54,2013-03-01,2013-04-12,8
55,2013-05-20,2013-07-01,8
56,2013-07-31,2013-09-11,5
57,2013-08-31,2013-10-12,5
58,2013-10-03,2013-11-14,5
59,2013-12-21,2014-02-01,5
60,2014-02-13,2014-03-27,2
61,2014-03-28,2014-05-09,2
62,2014-05-15,2014-06-26,8
63,2014-06-29,2014-08-10,9
64,2014-08-13,2014-09-24,9
65,2014-10-27,2014-12-08,8
66,2014-12-11,2015-01-22,9
67,2015-02-24,2015-04-07,3
68,2015-04-15,2015-05-27,8
69,2015-06-06,2015-07-18,2
70,2015-07-13,2015-08-24,2
71,2015-08-09,2015-09-20,5
72,2015-09-22,2015-11-03,9
73,2015-12-16,2016-01-27,8
74,2016-02-09,2016-03-22,8
75,2016-03-25,2016-05-06,8
76,2016-05-09,2016-06-20,8
77,2016-06-23,2016-08-04,9
78,2016-07-04,2016-08-15,3
79,2016-09-11,2016-10-23,8
80,2016-10-31,2016-12-12,8
81,2016-12-15,2017-01-26,8
82,2017-02-28,2017-04-11,8
83,2017-04-14,2017-05-26,8
84,2017-07-09,2017-08-20,2
85,2017-08-20,2017-10-01,5
86,2017-09-24,2017-11-05,2
